CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC1	CAZyme	k141_100115	k141_100115_1	3	992	-	CAZyme|GH73_e137+TC|3.A.7.14.2
CGC1	TC	k141_100115	k141_100115_2	989	1150	-	TC|1.E.19.1.11
CGC2	TC	k141_100369	k141_100369_35	34299	35648	+	TC|2.A.66.1.33
CGC2	TF	k141_100369	k141_100369_36	35563	36537	-	TF|0036286+STP|AraC_binding+STP|HTH_18
CGC2	CAZyme	k141_100369	k141_100369_37	36749	39145	+	CAZyme|GH3_e165
CGC2	TC	k141_100369	k141_100369_38	39226	41721	-	TC|3.A.1.4.14
CGC2	null	k141_100369	k141_100369_39	41795	42277	-	null
CGC2	TC	k141_100369	k141_100369_40	42470	43846	-	TC|2.A.66.1.33
CGC3	CAZyme	k141_100728	k141_100728_45	40633	42495	-	CAZyme|GH13_11
CGC3	TC	k141_100728	k141_100728_46	42612	43706	+	TC|8.A.85.3.1
CGC4	CAZyme	k141_100728	k141_100728_68	73266	74741	-	CAZyme|GH77_e1
CGC4	TC	k141_100728	k141_100728_69	74861	76120	+	TC|2.A.49.9.2
CGC4	CAZyme	k141_100728	k141_100728_70	76114	77934	-	CAZyme|GH13_14
CGC4	TC	k141_100728	k141_100728_71	78145	78720	-	TC|3.A.1.25.5
CGC5	CAZyme	k141_100728	k141_100728_81	87228	89567	-	CAZyme|GH36_e53
CGC5	TC	k141_100728	k141_100728_82	89586	90950	-	TC|2.A.2.1.1
CGC6	TC	k141_100776	k141_100776_7	9390	11450	+	TC|9.B.121.1.1
CGC6	TC	k141_100776	k141_100776_8	11632	12954	-	TC|2.A.1.6.10
CGC6	TC	k141_100776	k141_100776_9	13365	14378	-	TC|9.B.126.1.1
CGC6	STP	k141_100776	k141_100776_10	14427	15398	-	STP|LysR_substrate+TF|HTH_1
CGC6	TF	k141_100776	k141_100776_11	15846	16448	+	TF|GerE
CGC6	CAZyme	k141_100776	k141_100776_12	16499	18148	-	CAZyme|GH37_e6
CGC6	TC	k141_100776	k141_100776_13	18552	19949	+	TC|5.B.3.1.1
CGC7	CAZyme	k141_100798	k141_100798_2	359	1744	-	CAZyme|GH32_e45
CGC7	TC	k141_100798	k141_100798_3	1796	2440	-	TC|3.A.1.1.28
CGC8	TC	k141_101158	k141_101158_1	2	355	+	TC|3.A.1.3.15
CGC8	CAZyme	k141_101158	k141_101158_2	426	1481	-	CAZyme|CE4_e246
CGC9	TC	k141_101237	k141_101237_2	790	2148	+	TC|3.A.1.1.11
CGC9	TC	k141_101237	k141_101237_3	2423	3337	+	TC|3.A.1.1.11
CGC9	TC	k141_101237	k141_101237_4	3357	4220	+	TC|3.A.1.1.11
CGC9	STP	k141_101237	k141_101237_5	4557	5429	-	STP|HTH_18+STP|AraC_binding+TF|HTH_AraC
CGC9	CAZyme	k141_101237	k141_101237_6	5578	7137	+	CAZyme|GH28_e123
